epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,15739.2,0.14091,1.48003,0.00558,0.7171,0.68129,0.76404,0.75726,0.20993,1.93671,0.00898,0.000133935,0.000133935,0.000133935
55,16037.6,0.149,1.45023,0.00601,0.69516,0.68782,0.75673,0.75229,0.18171,1.92546,0.0077,0.000131971,0.000131971,0.000131971
56,16335.7,0.14763,1.49173,0.00593,0.70138,0.66136,0.75722,0.75341,0.17723,1.90987,0.00759,0.000130008,0.000130008,0.000130008
57,16633.8,0.14294,1.41996,0.00579,0.73868,0.63476,0.75276,0.74902,0.18963,1.91192,0.00813,0.000128044,0.000128044,0.000128044
58,16933.2,0.14774,1.37378,0.00598,0.72329,0.67566,0.74828,0.74295,0.17381,1.89982,0.00743,0.000126081,0.000126081,0.000126081
59,17233.9,0.13308,1.30291,0.00534,0.67641,0.72396,0.75942,0.75641,0.16352,1.81141,0.00696,0.000124117,0.000124117,0.000124117
60,17533,0.13152,1.28661,0.00529,0.71268,0.69348,0.76481,0.75996,0.18893,1.79797,0.00811,0.000122154,0.000122154,0.000122154
61,17832.1,0.14266,1.27784,0.00576,0.635,0.73372,0.76185,0.75749,0.18853,1.7968,0.00805,0.00012019,0.00012019,0.00012019
62,18130.9,0.13557,1.24944,0.0054,0.73243,0.68567,0.76852,0.76329,0.20213,1.74518,0.00869,0.000118227,0.000118227,0.000118227
63,18428.3,0.14385,1.24511,0.00581,0.69632,0.69506,0.76602,0.76194,0.1866,1.7261,0.00801,0.000116263,0.000116263,0.000116263
64,18720,0.12802,1.20392,0.00515,0.67909,0.70647,0.76421,0.76043,0.16597,1.70537,0.00706,0.0001143,0.0001143,0.0001143
65,19013.2,0.13895,1.15653,0.00566,0.67758,0.70597,0.76327,0.75873,0.18372,1.7346,0.00792,0.000112336,0.000112336,0.000112336
66,19311,0.13634,1.19277,0.00549,0.66546,0.70713,0.75895,0.75526,0.17187,1.67499,0.00737,0.000110373,0.000110373,0.000110373
67,19602.3,0.12764,1.12431,0.005,0.68132,0.68047,0.76048,0.75689,0.17605,1.66617,0.00755,0.000108409,0.000108409,0.000108409
68,19895.5,0.13615,1.12992,0.00548,0.65305,0.71464,0.75761,0.75432,0.16306,1.62373,0.00693,0.000106445,0.000106445,0.000106445
69,20186.7,0.13652,1.12925,0.00552,0.69724,0.70083,0.77696,0.77266,0.181,1.61014,0.00779,0.000104482,0.000104482,0.000104482
70,20478.8,0.12241,1.11894,0.00488,0.67962,0.71244,0.77155,0.76825,0.1606,1.62009,0.00685,0.000102519,0.000102519,0.000102519
71,20771.2,0.12574,1.08876,0.00499,0.71056,0.70405,0.7779,0.77429,0.16878,1.53299,0.00722,0.000100555,0.000100555,0.000100555
72,21063.1,0.12345,1.01829,0.00484,0.70798,0.64387,0.76322,0.75926,0.16637,1.58248,0.00708,9.85915e-05,9.85915e-05,9.85915e-05
73,21354.9,0.13045,1.02395,0.00522,0.72313,0.65154,0.7591,0.75601,0.16566,1.59582,0.00708,9.6628e-05,9.6628e-05,9.6628e-05
74,21647.8,0.12763,1.0189,0.00515,0.70966,0.6883,0.76482,0.7615,0.16911,1.52073,0.00721,9.46645e-05,9.46645e-05,9.46645e-05
75,21942.4,0.12051,1.00946,0.00476,0.74833,0.65083,0.76913,0.76598,0.15919,1.51793,0.00677,9.2701e-05,9.2701e-05,9.2701e-05
76,22237.3,0.13168,0.96597,0.00529,0.72821,0.66191,0.77248,0.76888,0.1712,1.52106,0.00732,9.07375e-05,9.07375e-05,9.07375e-05
77,22530.8,0.11974,0.95345,0.00474,0.72782,0.68863,0.78468,0.78129,0.15796,1.46574,0.00674,8.8774e-05,8.8774e-05,8.8774e-05
78,22826.8,0.12204,0.95143,0.00486,0.67517,0.71261,0.77313,0.76884,0.16059,1.45779,0.00684,8.68105e-05,8.68105e-05,8.68105e-05
79,23122,0.12335,0.94823,0.0049,0.66994,0.69456,0.76806,0.76468,0.16732,1.4828,0.00715,8.4847e-05,8.4847e-05,8.4847e-05
80,23414.7,0.13066,0.96121,0.00524,0.66384,0.72347,0.77791,0.77449,0.1674,1.43505,0.00713,8.28835e-05,8.28835e-05,8.28835e-05
81,23707,0.12097,0.9333,0.00478,0.68884,0.71351,0.78017,0.77673,0.16358,1.40273,0.00697,8.092e-05,8.092e-05,8.092e-05
82,24000.4,0.12008,0.92732,0.00476,0.72704,0.68509,0.78118,0.7774,0.17054,1.4292,0.0073,7.89565e-05,7.89565e-05,7.89565e-05
83,24292.7,0.12244,0.91324,0.00485,0.74354,0.64745,0.7808,0.7774,0.17089,1.43437,0.0073,7.6993e-05,7.6993e-05,7.6993e-05
84,24585.1,0.11752,0.86154,0.0046,0.697,0.72176,0.77432,0.77128,0.15689,1.38114,0.00669,7.50295e-05,7.50295e-05,7.50295e-05
85,24877.2,0.11894,0.87525,0.00478,0.73793,0.71755,0.77378,0.76979,0.17123,1.38691,0.00734,7.3066e-05,7.3066e-05,7.3066e-05
86,25169.8,0.13003,0.86926,0.00516,0.72927,0.71518,0.7769,0.77281,0.18203,1.41372,0.00779,7.11025e-05,7.11025e-05,7.11025e-05
87,25466.3,0.1214,0.83722,0.00483,0.71766,0.71317,0.77479,0.77163,0.16463,1.38149,0.00703,6.9139e-05,6.9139e-05,6.9139e-05
88,25763.2,0.11618,0.84208,0.00467,0.73758,0.70785,0.77934,0.77594,0.15614,1.36802,0.00665,6.71755e-05,6.71755e-05,6.71755e-05
89,26055.5,0.11737,0.84376,0.0047,0.77618,0.67329,0.78765,0.78438,0.15893,1.36234,0.00677,6.5212e-05,6.5212e-05,6.5212e-05
